agent,task,correctness,completeness,quality,efficiency,autonomy,notes
cc,task-1,0,0,0,0,0,
cc,task-2a,0,0,0,0,0,
cc,task-2b,0,0,0,0,0,
cc,task-2c,0,0,0,0,0,
cc,task-2d,0,0,0,0,0,
cc,task-3a,0,0,0,0,0,
cc,task-3b,0,0,0,0,0,
cc,task-3c,0,0,0,0,0,
cc,task-4a,0,0,0,0,0,
cc,task-4b,0,0,0,0,0,
cc,task-4c,0,0,0,0,0,
openclaw,task-1,0,0,0,0,0,
openclaw,task-2a,0,0,0,0,0,
openclaw,task-2b,0,0,0,0,0,
openclaw,task-2c,0,0,0,0,0,
openclaw,task-2d,0,0,0,0,0,
openclaw,task-3a,0,0,0,0,0,
openclaw,task-3b,0,0,0,0,0,
openclaw,task-3c,0,0,0,0,0,
openclaw,task-4a,0,0,0,0,0,
openclaw,task-4b,0,0,0,0,0,
openclaw,task-4c,0,0,0,0,0,
hermes,task-1,0,0,0,0,0,
hermes,task-2a,0,0,0,0,0,
hermes,task-2b,0,0,0,0,0,
hermes,task-2c,0,0,0,0,0,
hermes,task-2d,0,0,0,0,0,
hermes,task-3a,0,0,0,0,0,
hermes,task-3b,0,0,0,0,0,
hermes,task-3c,0,0,0,0,0,
hermes,task-4a,0,0,0,0,0,
hermes,task-4b,0,0,0,0,0,
hermes,task-4c,0,0,0,0,0,
